"","pp_no","condition","bin","bin_no","trial","muscle","rms"
"367","pp2","stimtype1","bin_7",7,"trial1","brow",6.8633
"368","pp2","stimtype1","bin_7",7,"trial1","cheek",1.5133
"369","pp2","stimtype1","bin_8",8,"trial1","brow",8.1933
"370","pp2","stimtype1","bin_8",8,"trial1","cheek",2.578
"371","pp2","stimtype1","bin_9",9,"trial1","brow",7.1411
"372","pp2","stimtype1","bin_9",9,"trial1","cheek",2.3646
"373","pp2","stimtype1","bin_10",10,"trial1","brow",8.9574
"374","pp2","stimtype1","bin_10",10,"trial1","cheek",2.1425
"375","pp2","stimtype1","bin_0",0,"trial2","brow",7.8818
"376","pp2","stimtype1","bin_0",0,"trial2","cheek",1.9574
"377","pp2","stimtype1","bin_1",1,"trial2","brow",5.5752
"378","pp2","stimtype1","bin_1",1,"trial2","cheek",1.7467
"379","pp2","stimtype1","bin_2",2,"trial2","brow",7.3087
"380","pp2","stimtype1","bin_2",2,"trial2","cheek",1.5755
"381","pp2","stimtype1","bin_3",3,"trial2","brow",10.5577
"382","pp2","stimtype1","bin_3",3,"trial2","cheek",8.6182
"383","pp2","stimtype1","bin_4",4,"trial2","brow",7.6508
"384","pp2","stimtype1","bin_4",4,"trial2","cheek",3.4247
"385","pp2","stimtype1","bin_5",5,"trial2","brow",16.0342
"386","pp2","stimtype1","bin_5",5,"trial2","cheek",15.1341
"387","pp2","stimtype1","bin_6",6,"trial2","brow",8.5158
"388","pp2","stimtype1","bin_6",6,"trial2","cheek",3.9644
"389","pp2","stimtype1","bin_7",7,"trial2","brow",15.264
"390","pp2","stimtype1","bin_7",7,"trial2","cheek",2.1463
"391","pp2","stimtype1","bin_8",8,"trial2","brow",11.647
"392","pp2","stimtype1","bin_8",8,"trial2","cheek",2.9955
"393","pp2","stimtype1","bin_9",9,"trial2","brow",8.136
"394","pp2","stimtype1","bin_9",9,"trial2","cheek",2.3115
"395","pp2","stimtype1","bin_10",10,"trial2","brow",8.5519
"396","pp2","stimtype1","bin_10",10,"trial2","cheek",2.3387
"397","pp2","stimtype1","bin_0",0,"trial3","brow",9.7714
"398","pp2","stimtype1","bin_0",0,"trial3","cheek",2.5623
"399","pp2","stimtype1","bin_1",1,"trial3","brow",13.5236
"400","pp2","stimtype1","bin_1",1,"trial3","cheek",3.2137
"401","pp2","stimtype1","bin_2",2,"trial3","brow",11.0485
"402","pp2","stimtype1","bin_2",2,"trial3","cheek",6.0013
"403","pp2","stimtype1","bin_3",3,"trial3","brow",9.0095
"404","pp2","stimtype1","bin_3",3,"trial3","cheek",1.9069
"405","pp2","stimtype1","bin_4",4,"trial3","brow",18.0239
"406","pp2","stimtype1","bin_4",4,"trial3","cheek",2.2654
"407","pp2","stimtype1","bin_5",5,"trial3","brow",16.7199
"408","pp2","stimtype1","bin_5",5,"trial3","cheek",3.321
"409","pp2","stimtype1","bin_6",6,"trial3","brow",11.6165
"410","pp2","stimtype1","bin_6",6,"trial3","cheek",2.1503
"411","pp2","stimtype1","bin_7",7,"trial3","brow",7.6303
"412","pp2","stimtype1","bin_7",7,"trial3","cheek",1.8678
"413","pp2","stimtype1","bin_8",8,"trial3","brow",10.1546
